"","Image_ID","Order","Taxon","Band1","Red_Mean","Red_Mode","Red_Standard_Dev","Band_2","Green_Mean","Green_Mode","Green_Standard Dev","Band_3","Blue_Mean","Blue_Mode","Blue_Standard_Dev","Petal_Count","Infloresence_stature","species_numb","color","L","a","b"
"22","medium.jpeg?1562809465.jpg",22,"L. nevadensis","red",229.603,229,9.301,"green",238.893,226,9.956,"blue",239.942,238,9.346,10,"Ascending",1,"honeydew",3067.12736813696,-67.6007539812247,-38.3721564539542
"23","medium.jpeg?1562888006.jpg",23,"L. nevadensis","red",155.905,154,10.622,"green",162.583,160,10.27,"blue",147.367,142,15.434,9,"Ascending",1,"honeydew",2418.90049347079,-126.064571013055,161.558142235757
"24","medium.jpeg?1563029193.jpg",24,"L. nevadensis","red",165.443,168,15.931,"green",174.18,178,17.11,"blue",156.044,151,16.277,6,"Ascending",1,"honeydew",2516.99720246543,-153.32945171067,185.129992889114
"25","medium.jpeg?1563258184.jpg",25,"L. nevadensis","red",237.759,239,4.354,"green",230.102,235,5.834,"blue",232.626,233,5.835,8,"Ascending",1,"honeydew",3031.88937975554,68.9824829095862,-2.71628722477928
"26","medium.jpeg?1563669424.jpg",26,"L. nevadensis","red",178.258,161,15.856,"green",180.963,163,15.961,"blue",157.979,136,23.201,9,"Ascending",1,"honeydew",2586.5788221131,-116.049818442658,259.636003869827
"27","medium.jpeg?1564206588.jpg",27,"L. nevadensis","red",236.155,239,3.991,"green",240.309,241,2.788,"blue",225.045,235,8.947,7,"Decumbent",1,"honeydew",3077.53496733264,-87.9490448762539,145.339844825376
"28","medium.jpeg?1564330746.jpg",28,"L. nevadensis","red",251.88,255,6.754,"green",252.22,255,6.254,"blue",250.28,255,8.184,7,"Decumbent",1,"honeydew",3184.90557135053,-9.5538406673974,18.4919846172875
"29","medium.jpeg?1564611444.jpg",29,"L. nevadensis","red",187.138,200,17.873,"green",195.289,206,17.417,"blue",192.836,204,17.766,7,"Decumbent",1,"honeydew",2712.49337037075,-78.1885487012879,1.0669507594578
"30","medium.jpeg?1565668167.jpg",30,"L. nevadensis","red",241.951,248,8.843,"green",241.106,247,9.142,"blue",236.52,245,11.674,7,"Ascending",1,"honeydew",3100.01994114612,-10.2422372711448,49.524766914638
"31","medium.jpeg?1566194189.jpg",31,"L. nevadensis","red",228.742,230,9.42,"green",228.992,230,9.659,"blue",227.5,234,13.049,6,"Ascending",1,"honeydew",3004.91972727933,-7.54760724837844,14.8141522519275
"32","medium.jpeg?1568586605.jpg",32,"L. nevadensis","red",227.804,227,5.395,"green",233.781,238,5.08,"blue",230.444,229,5.69,6,"Decumbent",1,"honeydew",3030.45349412956,-59.0612570778131,16.608512963596
"33","medium.jpeg?1585715072.jpg",33,"L. nevadensis","red",192.593,203,9.445,"green",187.076,181,9.337,"blue",184.602,184,10.137,7,"Ascending",1,"honeydew",2671.17356809428,36.9811066131547,46.4233454518485
"34","medium.jpeg?1590763583.jpg",34,"L. nevadensis","red",196.07,221,30.772,"green",190.556,215,31.033,"blue",163.311,203,42.494,8,"Ascending",1,"honeydew",2684.45825444191,-57.1440281286488,330.917650932109
"35","medium.jpeg?1591072954.jpg",35,"L. nevadensis","red",202.012,200,6.712,"green",205.556,203,6.461,"blue",191.01,191,9.883,7,"Ascending",1,"honeydew",2799.80842476078,-85.7186149884388,148.931434699737
"36","medium.jpeg?1593982626.jpg",36,"L. nevadensis","red",189.271,189,9.597,"green",201.748,201,9.878,"blue",204.132,206,11.734,7,"Ascending",1,"honeydew",2761.61606517499,-93.0282306127044,-65.5690367366404
"37","medium.jpeg?1613132061.jpg",38,"L. nevadensis","red",242.104,241,4.571,"green",247.819,251,3.295,"blue",249.733,253,4.57,9,"Ascending",1,"honeydew",3143.58273209514,-36.2901766493113,-36.1283929441122
"38","medium.jpeg?1622482936.jpg",39,"L. nevadensis","red",249.238,254,4.818,"green",249.214,255,5.092,"blue",232.952,237,7.345,8,"Erect",1,"honeydew",3153.76038288745,-57.8240032983715,165.725054897909
"39","medium.jpeg?1622526023.jpg",40,"L. nevadensis","red",169.178,177,17.94,"green",192.63,205,18.966,"blue",206.031,220,22.819,7,"Ascending",1,"honeydew",2670.97356750177,-137.083648763204,-222.423184333471
"40","medium.jpeg?1622690968.jpg",41,"L. nevadensis","red",232.641,240,7.728,"green",243.016,248,6.376,"blue",233.766,243,16.506,8,"Decumbent",1,"honeydew",3090.58795694863,-114.116739757856,64.1650005676389
"41","medium.jpeg?1623362011.jpg",42,"L. nevadensis","red",181.977,174,10.341,"green",190.797,183,10.507,"blue",185.445,172,11.762,9,"Decumbent",1,"honeydew",2670.80984829517,-96.6099572173622,31.6710133785634
"42","medium.jpeg?1623782882.jpg",43,"L. nevadensis","red",215.261,218,6.215,"green",235.689,238,5.546,"blue",231.283,238,10.487,7,"Ascending",1,"honeydew",3017.5894003488,-175.798715573093,-14.7699721220569
"43","medium.jpeg?1624672624.jpg",44,"L. nevadensis","red",244.675,255,21.092,"green",246.95,255,17.181,"blue",245.425,255,19.75,6,"Decumbent",1,"honeydew",3141.16666935485,-22.866129626868,8.72308428777089
"44","medium.jpg?1373495128.jpg",45,"L. nevadensis","red",164.483,159,7.816,"green",180.713,174,10.1,"blue",198.175,178,22.744,8,"Decumbent",1,"honeydew",2585.41536208726,-61.1892366531581,-250.338135186445
"45","medium.JPG?1398200576.jpg",46,"L. nevadensis","red",213.074,234,15.562,"green",209.932,230,16.673,"blue",158.068,173,36.425,6,"Decumbent",1,"honeydew",2827.25177111573,-160.363282279258,591.508462331133
"46","medium.jpg?1433482394.jpg",47,"L. nevadensis","red",243.621,255,13.601,"green",244.03,255,13.52,"blue",208.606,215,29.216,8,"Decumbent",1,"honeydew",3101.64671878427,-128.018156818365,367.20734649412
"47","medium.JPG?1433689500.jpg",48,"L. nevadensis","red",237.864,235,10.131,"green",241.783,255,9.733,"blue",215.949,230,16.512,8,"Decumbent",1,"honeydew",3083.04431269085,-123.501065044037,256.445492080129
"48","medium.JPG?1434877935.jpg",49,"L. nevadensis","red",212.733,232,36.413,"green",221.792,238,35.25,"blue",219.018,255,39.689,7,"Decumbent",1,"honeydew",2929.38230643182,-82.763639827089,1.62587085786896
"49","medium.JPG?1434878148.jpg",50,"L. nevadensis","red",187.578,190,4.644,"green",196.515,200,5.755,"blue",199.667,198,8.759,8,"Ascending",1,"honeydew",2725.24857511655,-61.4121421608367,-63.5419193790419
"50","medium.jpg?1434929373.jpg",51,"L. nevadensis","red",175.625,172,7.225,"green",178.336,174,6.783,"blue",161.929,149,12.632,9,"Decumbent",1,"honeydew",2567.94305663975,-90.721087750973,182.760269036258
"51","medium.JPG?1435811054.jpg",52,"L. nevadensis","red",254.286,255,1.817,"green",253.702,255,3.44,"blue",253.697,255,3.669,9,"Ascending",1,"honeydew",3199.14179839998,4.37023881945109,1.76231922498644
"52","medium.jpg?1444547472.jpg",53,"L. nevadensis","red",248.271,253,5.503,"green",250.375,254,4.124,"blue",248.604,255,5.039,8,"Ascending",1,"honeydew",3167.60522724043,-22.3375744022949,11.657248639677
"53","medium.JPG?1462830492.jpg",54,"L. nevadensis","red",212.824,219,7.797,"green",209.871,219,10.728,"blue",202.605,205,8.887,10,"Decumbent",1,"honeydew",2853.46900270005,-3.74218065052112,88.267680393141
"54","medium.JPG?1463455857.jpg",55,"L. nevadensis","red",191.864,191,5.838,"green",202.145,205,6.104,"blue",182.491,185,9.363,8,"Ascending",1,"honeydew",2754.32655975483,-163.438825477851,186.218388039322
"55","medium.JPG?1463975829.jpg",56,"L. nevadensis","red",173.375,181,13.104,"green",184.975,196,12.24,"blue",167.85,177,12.086,8,"Decumbent",1,"honeydew",2606.65089650156,-170.892611431844,159.418753433475
"56","medium.jpg?1464717211.jpg",57,"L. nevadensis","red",246.26,255,7.643,"green",241.729,255,11.202,"blue",233.674,253,14.75,9,"Ascending",1,"honeydew",3109.78188350449,5.7980241046387,96.2410081189297
"57","medium.jpg?1465340045.jpg",58,"L. nevadensis","red",224.429,230,13.984,"green",233.516,253,14.986,"blue",208.29,220,18.778,8,"Decumbent",1,"honeydew",3008.60599053325,-164.865675921614,238.26304243397
"58","medium.jpg?1466296105.jpg",59,"L. nevadensis","red",253.083,255,2.6,"green",253.438,255,2.681,"blue",237.312,237,8.003,11,"Decumbent",1,"honeydew",3185.41810967226,-59.8951809985042,162.08671938255
"59","medium.jpg?1488762395.jpg",60,"L. nevadensis","red",244.355,251,8.489,"green",252.536,255,4.616,"blue",244.995,255,15.725,8,"Ascending",1,"honeydew",3169.1511303054,-89.3397949355013,52.1579576401315
"60","medium.jpg?1496178339.jpg",61,"L. nevadensis","red",223.753,222,4.095,"green",227.7,226,4.192,"blue",238.174,238,5.017,9,"Ascending",1,"honeydew",2995.48808352927,9.32313334111434,-120.716254516963
"61","medium.jpg?1497056722.jpg",62,"L. nevadensis","red",253.333,255,2.279,"green",253.967,255,1.691,"blue",244.7,255,8.044,7,"Ascending",1,"honeydew",3193.09745979723,-37.8730074305462,91.411017326655
"62","medium.jpg?1497487425.jpg",63,"L. nevadensis","red",223.239,227,8.17,"green",225.448,230,7.714,"blue",207.16,201,13.873,8,"Ascending",1,"honeydew",2962.11181357922,-85.5629712194119,187.62617493982
"63","medium.jpg?1497918571.jpg",64,"L. nevadensis","red",228.641,229,6.581,"green",243.026,248,6.528,"blue",238.314,255,14.373,8,"Ascending",1,"honeydew",3086.08472535133,-128.129127310995,5.87057741013837
"64","medium.jpg?1498689274.jpg",65,"L. nevadensis","red",180.222,187,6.746,"green",184.494,192,13.414,"blue",212.483,216,8.84,8,"Ascending",1,"honeydew",2651.08147917809,83.7755565084475,-324.798715549044
"65","medium.jpg?1498787201.jpg",66,"L. nevadensis","red",186.511,195,9.258,"green",201.445,207,9.494,"blue",168.195,168,20.558,8,"Ascending",1,"honeydew",2730.3907782191,-256.684047957984,327.526915596127
"66","medium.jpg?1498950561.jpg",67,"L. nevadensis","red",225.597,240,22.319,"green",228.643,242,21.832,"blue",212.123,235,36.194,9,"Ascending",1,"honeydew",2987.04888444305,-85.4032460051126,165.101180456752
"67","medium.jpg?1501945728.jpg",68,"L. nevadensis","red",245.007,250,6.657,"green",252.871,255,4.171,"blue",251.414,255,5.652,8,"Ascending",1,"honeydew",3176.13149081018,-64.5998362353488,-8.28361281225511
"68","medium.jpg?1507064568.jpg",69,"L. nevadensis","red",234.122,231,3.822,"green",241.918,242,4.725,"blue",247.857,246,3.208,7,"Decumbent",1,"honeydew",3096.71757664684,-37.3035355166014,-83.4600534121222
"69","medium.jpg?1514702207.jpg",70,"L. nevadensis","red",224.87,228,4.078,"green",211.289,215,8.582,"blue",240.273,247,7.653,7,"Decumbent",1,"honeydew",2912.02715557935,219.580643086445,-262.111797881315
"70","medium.jpg?1528493582.jpg",71,"L. nevadensis","red",151.677,156,11.593,"green",156.508,158,14.942,"blue",163.538,167,15.789,7,"Decumbent",1,"honeydew",2383.95705796988,-12.3241876538387,-101.810944256249
"71","medium.jpg?1528667966.jpg",72,"L. nevadensis","red",223.344,227,11.849,"green",225.322,231,10.267,"blue",238.756,245,9.324,10,"Ascending",1,"honeydew",2982.44167626846,36.1411440728396,-145.75772359411
"72","medium.jpg?1528674882.jpg",73,"L. nevadensis","red",241.557,244,7.33,"green",239.904,248,7.084,"blue",230.231,237,7.56,10,"Decumbent",1,"honeydew",3089.03452885433,-22.3652367784126,104.618002808947
"73","medium.jpg?1528942351.jpg",74,"L. nevadensis","red",253.9,255,1.626,"green",232,229,5.337,"blue",246.3,255,5.861,8,"Ascending",1,"honeydew",3083.0245136922,220.127345479256,-79.0215151671248
"74","medium.jpg?1529088439.jpg",75,"L. nevadensis","red",243.172,246,3.676,"green",249.656,253,3.488,"blue",235.359,235,5.081,9,"Decumbent",1,"honeydew",3146.05651734327,-101.201432753292,126.352295253803
"75","medium.jpg?1529382144.jpg",76,"L. nevadensis","red",216.056,215,4.177,"green",223,222,3.226,"blue",161.411,163,6.964,7,"Decumbent",1,"honeydew",2907.95263766835,-276.509131867531,655.953181861162
"76","medium.jpg?1529382442.jpg",77,"L. nevadensis","red",215.667,243,17.044,"green",193.667,215,13.257,"blue",193.889,227,21.204,7,"Ascending",1,"honeydew",2764.75077929968,183.997320177921,71.1802508126866
"77","medium.jpg?1529517704.jpg",78,"L. nevadensis","red",193.243,204,13.089,"green",201.051,209,13.273,"blue",200.445,210,14.165,9,"Ascending",1,"honeydew",2763.0309632831,-66.9329304522659,-18.2139797170557
"78","medium.jpg?1529678621.jpg",79,"L. nevadensis","red",193.085,201,10.432,"green",196.423,207,10.079,"blue",166.769,175,14.635,7,"Decumbent",1,"honeydew",2713.97933431442,-143.052878743122,325.913620303326
"79","medium.jpg?1530104048.jpg",80,"L. nevadensis","red",202.722,214,11.8,"green",236.917,254,14.818,"blue",243.417,255,12.702,9,"Ascending",1,"honeydew",3009.71876775238,-237.526490619091,-165.748712318279
"80","medium.jpg?1544210944.jpg",81,"L. nevadensis","red",220.639,213,9.221,"green",229.164,239,9.548,"blue",232.358,238,8.94,9,"Decumbent",1,"honeydew",2993.36903992892,-54.4311245129236,-59.011374721883
"81","medium.jpg?1544332107.jpg",83,"L. nevadensis","red",208.024,208,4.01,"green",210.985,212,4.184,"blue",181.528,184,6.331,8,"Ascending",1,"honeydew",2836.40407347659,-135.311643733834,315.157211332259
"82","medium.jpg?1544577725.jpg",84,"L. nevadensis","red",170.004,167,4.928,"green",173.375,177,5.307,"blue",164.273,168,6.885,10,"Ascending",1,"honeydew",2527.76426316016,-67.7591985068737,95.5394915252249
"83","medium.jpg?1557611718.jpg",85,"L. nevadensis","red",253.529,255,2.887,"green",253.579,255,2.792,"blue",252.488,255,3.491,8,"Decumbent",1,"honeydew",3196.33115865269,-4.29950203760399,10.7848812807838
"84","medium.jpg?1558493221.jpg",86,"L. nevadensis","red",238.862,244,7.593,"green",233.52,226,9.436,"blue",209.684,209,10.099,9,"Decumbent",1,"honeydew",3037.65194620622,-43.4206333164333,266.890578276036
"85","medium.jpg?1559578791.jpg",87,"L. nevadensis","red",225.689,232,8.516,"green",212.321,212,14.657,"blue",205.898,217,12.974,8,"Decumbent",1,"honeydew",2895.52037251344,84.1284754685319,112.048909709823
"86","medium.jpg?1560037229.jpg",88,"L. nevadensis","red",236.658,247,8.094,"green",243.368,246,7.549,"blue",237.094,243,9.338,9,"Decumbent",1,"honeydew",3102.10235060787,-74.6272184848706,44.2615905606701
"87","medium.jpg?1560227618.jpg",89,"L. nevadensis","red",183.222,183,5.573,"green",170.387,169,8.248,"blue",158.577,155,9.752,7,"Decumbent",1,"honeydew",2535.60727889794,66.5505221041904,184.994124240008
"88","medium.jpg?1560373244.jpg",90,"L. nevadensis","red",210.48,208,6.255,"green",200.525,197,8.056,"blue",182.668,179,8.143,8,"Ascending",1,"honeydew",2783.97201163529,15.6206122834561,231.553763567365
"89","medium.jpg?1560374085.jpg",91,"L. nevadensis","red",188.065,198,11.757,"green",188.986,192,14.526,"blue",169.237,179,15.715,10,"Ascending",1,"honeydew",2662.03099596524,-85.9784061198106,223.061105361106
"90","medium.jpg?1560425133.jpg",92,"L. nevadensis","red",218.652,215,7.334,"green",222.488,221,7.029,"blue",215.691,219,7.187,8,"Decumbent",1,"honeydew",2942.53167004515,-56.3377204149571,60.2609318173009
"91","medium.jpg?1560974728.jpg",93,"L. nevadensis","red",222.311,222,3.509,"green",234.533,234,2.555,"blue",236.889,244,9.437,8,"Decumbent",1,"honeydew",3028.25738936207,-85.7757980273082,-60.7861185674956
"92","medium.jpg?1561043631.jpg",94,"L. nevadensis","red",184.048,170,16.374,"green",192.385,178,15.359,"blue",207.178,194,14.171,9,"Decumbent",1,"honeydew",2700.00483919478,-7.51770770334126,-190.390419872272
"93","medium.jpg?1561493341.jpg",95,"L. nevadensis","red",229.741,229,7.736,"green",235.761,232,7.16,"blue",218.992,223,11.573,7,"Ascending",1,"honeydew",3037.41191381148,-108.93456648963,156.765004568378
"94","medium.jpg?1561510160.jpg",96,"L. nevadensis","red",241.184,243,4.533,"green",234.273,236,7.402,"blue",192.844,189,7.505,8,"Ascending",1,"honeydew",3036.47049148006,-89.9379940528728,461.043243726277
"95","medium.jpg?1561510383.jpg",97,"L. nevadensis","red",251.6,255,4.116,"green",252.867,255,3.305,"blue",234.478,235,5.993,7,"Ascending",1,"honeydew",3177.97990863916,-74.885358519106,182.739608793948
"96","medium.jpg?1561584253.jpg",98,"L. nevadensis","red",154.352,159,15.968,"green",158.599,158,15.91,"blue",131.35,139,18.956,8,"Ascending",1,"honeydew",2379.41193831271,-154.126314969545,323.202041836884
"97","medium.jpg?1561926685.jpg",99,"L. nevadensis","red",224.986,230,7.093,"green",248.429,255,6.092,"blue",250.043,255,5.724,8,"Ascending",1,"honeydew",3115.56518677054,-171.68587651296,-83.9224461812982
"98","medium.jpg?1562196572.jpg",100,"L. nevadensis","red",227.656,221,7.513,"green",223.677,223,7.804,"blue",200.344,208,13.235,7,"Ascending",1,"honeydew",2957.16148139901,-53.3989776095947,262.000089189285
"99","medium.jpg?1562352662.jpg",101,"L. nevadensis","red",228.547,234,5.715,"green",233.991,238,5.871,"blue",252.085,255,3.365,9,"Decumbent",1,"honeydew",3047.50122909934,27.3795973643338,-201.182683752295
"100","medium.jpg?1562563906.jpg",102,"L. nevadensis","red",142.921,148,6.871,"green",166.476,169,7.163,"blue",178.389,180,9.894,9,"Decumbent",1,"honeydew",2439.27065333328,-152.399188115492,-218.214244415578
"101","medium.jpg?1562608870.jpg",103,"L. nevadensis","red",206.543,210,14.437,"green",209.102,210,14.302,"blue",190.132,208,15.534,9,"Ascending",1,"honeydew",2828.28387447945,-93.6002288160154,200.043744233651
"102","medium.jpg?1562641387.jpg",104,"L. nevadensis","red",196.367,199,7.57,"green",203.504,204,5.314,"blue",182.268,179,9.98,8,"Ascending",1,"honeydew",2771.05441471974,-142.247110008608,213.389511685031
"103","medium.jpg?1562733700.jpg",105,"L. nevadensis","red",199.708,202,19.455,"green",202.55,207,19.227,"blue",191.703,195,24.409,8,"Ascending",1,"honeydew",2778.67413685659,-66.0121123584503,110.747141010524
"104","medium.jpg?1562855255.jpg",106,"L. nevadensis","red",186.324,190,8.639,"green",190.593,195,9.752,"blue",191.72,201,12.076,10,"Decumbent",1,"honeydew",2683.07941449883,-31.3594831072024,-26.5880419047853
"105","medium.jpg?1563139763.jpg",107,"L. nevadensis","red",228.401,232,7.317,"green",241.007,244,6.006,"blue",240.63,242,6.887,8,"Ascending",1,"honeydew",3076.47980075058,-98.2730529026981,-33.372427919555
"106","medium.jpg?1563228392.jpg",108,"L. nevadensis","red",205.389,205,2.931,"green",221.885,221,3.035,"blue",235.393,236,3.387,8,"Ascending",1,"honeydew",2927.08780486008,-75.9478044580018,-191.329425854571
"107","medium.jpg?1563458490.jpg",109,"L. nevadensis","red",217.144,221,4.887,"green",231.583,234,4.95,"blue",230.114,230,5.24,9,"Decumbent",1,"honeydew",2998.2169891234,-118.463250437269,-27.9468991978497
"108","medium.jpg?1563575233.jpg",110,"L. nevadensis","red",254.667,255,1.233,"green",254.601,255,1.061,"blue",254.236,255,1.649,8,"Ascending",1,"honeydew",3204.77022043002,-0.815741129411407,3.84277725004978
"109","medium.jpg?1563595794.jpg",111,"L. nevadensis","red",206.849,208,4.964,"green",209.698,210,5.554,"blue",199.492,204,6.669,8,"Ascending",1,"honeydew",2838.30113052506,-62.7086886224699,102.129254861606
"110","medium.jpg?1563666292.jpg",112,"L. nevadensis","red",199.027,189,16.258,"green",219.714,206,17.166,"blue",231.221,255,18.06,8,"Ascending",1,"honeydew",2900.22664335762,-117.244418720105,-183.671985795213
"111","medium.jpg?1563766079.jpg",113,"L. nevadensis","red",211.142,231,20.251,"green",212.63,233,20.02,"blue",211.343,235,21.617,7,"Decumbent",1,"honeydew",2871.03278455588,-16.9938487098982,9.16849741841901
"112","medium.jpg?1563829473.jpg",114,"L. nevadensis","red",205.333,207,8.503,"green",206.965,206,9.251,"blue",193.174,199,9.862,9,"Ascending",1,"honeydew",2815.87744301454,-66.6099240133029,146.175308161815
"113","medium.jpg?1563923629.jpg",115,"L. nevadensis","red",187.796,199,10.97,"green",191.342,204,11.409,"blue",184.23,195,13.157,9,"Decumbent",1,"honeydew",2685.18515457786,-58.660974295103,68.589904658765
"114","medium.jpg?1563936342.jpg",116,"L. nevadensis","red",229.817,240,14.408,"green",230.103,241,14.159,"blue",229.89,233,14.373,10,"Decumbent",1,"honeydew",3014.4794099209,-3.03254771403694,1.34636007666842
"115","medium.jpg?1564202204.jpg",117,"L. nevadensis","red",212.205,211,8.061,"green",214.526,212,8.484,"blue",180.892,190,10.703,11,"Decumbent",1,"honeydew",2864.20234194583,-144.018987892276,361.725578904284
"116","medium.jpg?1564356749.jpg",118,"L. nevadensis","red",240.321,247,6.251,"green",225.676,235,8.719,"blue",213.383,212,10.874,8,"Decumbent",1,"honeydew",3001.50688428506,71.5333112398753,175.703543000238
"117","medium.jpg?1565963972.jpg",119,"L. nevadensis","red",224.5,227,3.4,"green",239.278,241,3.478,"blue",225.556,231,9.173,7,"Decumbent",1,"honeydew",3050.3310750052,-166.200802520963,98.2419944085812
"118","medium.jpg?1566483447.jpg",120,"L. nevadensis","red",219.908,229,12.551,"green",199.239,216,17.264,"blue",170.595,191,21.727,7,"Decumbent",1,"honeydew",2789.76285703907,69.4946384398083,391.092802181856
"119","medium.jpg?1580004595.jpg",121,"L. nevadensis","red",191.321,193,8.783,"green",186.097,189,9.288,"blue",164.729,169,10.388,8,"Ascending",1,"honeydew",2649.37718549449,-38.3056803688007,263.94705763223
"120","medium.jpg?1580004656.jpg",122,"L. nevadensis","red",250.08,252,3.068,"green",250.32,255,4.059,"blue",243.76,248,7.726,10,"Decumbent",1,"honeydew",3167.693674543,-25.4183956201786,65.5914169886671
"121","medium.jpg?1588709218.jpg",123,"L. nevadensis","red",200.942,201,8.067,"green",210.796,215,6.123,"blue",186.337,193,17.533,9,"Decumbent",1,"honeydew",2824.06814713459,-175.392371162697,237.813048313686
"122","medium.jpg?1589229587.jpg",124,"L. nevadensis","red",187.966,192,7.188,"green",208.459,214,7.474,"blue",207.927,212,7.505,8,"Ascending",1,"honeydew",2799.81465853043,-169.149829651547,-57.6052115881517
"123","medium.jpg?1590114877.jpg",125,"L. nevadensis","red",179.446,180,7.696,"green",209.146,207,7.859,"blue",198.338,209,10.624,8,"Ascending",1,"honeydew",2780.88965263667,-287.96865993405,27.2122283920801
"124","medium.jpg?1591857016.jpg",126,"L. nevadensis","red",233.454,231,3.911,"green",234.25,232,3.838,"blue",231.824,227,4.055,9,"Decumbent",1,"honeydew",3044.7193616295,-15.1919778065768,22.7085766265148
